Año,Mes,Día,Hora,Minuto,Segundo,Dato
2024,09,18,22,10,17,Movimiento Detectado
2024,09,18,22,10,18,Movimiento Detectado
2024,09,18,22,10,22,Movimiento Detectado
2024,09,18,22,10,26,Movimiento Detectado
2024,09,18,22,10,35,Movimiento Detectado
2024,09,18,22,10,36,Movimiento Detectado
2024,09,18,22,10,40,Movimiento Detectado
2024,09,18,22,10,44,Movimiento Detectado
2024,09,18,22,10,48,Movimiento Detectado
2024,09,18,22,10,52,Movimiento Detectado
2024,09,18,22,10,55,Movimiento Detectado
2024,09,18,22,10,56,Movimiento Detectado
2024,09,18,22,11,00,Movimiento Detectado
2024,09,18,22,11,04,Movimiento Detectado
2024,09,18,22,11,08,Movimiento Detectado
2024,09,18,22,11,09,Movimiento Detectado
2024,09,18,22,11,13,Movimiento Detectado
2024,09,18,22,11,15,Movimiento Detectado
2024,09,18,22,11,19,Movimiento Detectado
2024,09,18,22,11,24,Movimiento Detectado
2024,09,18,22,11,31,Movimiento Detectado
2024,09,18,22,11,36,Movimiento Detectado
2024,09,18,22,11,40,Movimiento Detectado
2024,09,18,22,11,41,Movimiento Detectado
2024,09,18,22,11,45,Movimiento Detectado
2024,09,18,22,11,51,Movimiento Detectado
2024,09,18,22,11,55,Movimiento Detectado
2024,09,18,22,12,01,Movimiento Detectado
2024,09,18,22,12,05,Movimiento Detectado
2024,09,18,22,12,09,Movimiento Detectado
2024,09,18,22,12,14,Movimiento Detectado
2024,09,18,22,12,18,Movimiento Detectado
2024,09,18,22,12,23,Movimiento Detectado
2024,09,18,22,12,27,Movimiento Detectado
2024,09,18,22,12,31,Movimiento Detectado
2024,09,18,22,12,35,Movimiento Detectado
2024,09,18,22,12,39,Movimiento Detectado
2024,09,18,22,12,43,Movimiento Detectado
2024,09,18,22,12,50,Movimiento Detectado
2024,09,18,22,12,54,Movimiento Detectado
2024,09,18,22,12,58,Movimiento Detectado
2024,09,18,22,13,02,Movimiento Detectado
2024,09,18,22,13,05,Movimiento Detectado
2024,09,18,22,13,06,Movimiento Detectado
2024,09,18,22,13,10,Movimiento Detectado
2024,09,18,22,13,14,Movimiento Detectado
2024,09,18,22,13,18,Movimiento Detectado
2024,09,18,22,13,22,Movimiento Detectado
2024,09,18,22,13,27,Movimiento Detectado
2024,09,18,22,13,31,Movimiento Detectado
2024,09,18,22,13,35,Movimiento Detectado
2024,09,18,22,13,39,Movimiento Detectado
2024,09,18,22,13,40,Movimiento Detectado
2024,09,18,22,13,44,Movimiento Detectado
2024,09,18,22,13,48,Movimiento Detectado
2024,09,18,22,13,52,Movimiento Detectado
2024,09,18,22,13,57,Movimiento Detectado
2024,09,18,22,13,58,Movimiento Detectado
2024,09,18,22,14,05,Movimiento Detectado
2024,09,18,22,14,09,Movimiento Detectado
2024,09,18,22,14,14,Movimiento Detectado
