Año,Mes,Dia,Hora,Minuto,Segundo,Dato
2024,09,18,18,10,55,Movimiento Detectado
2024,09,18,18,11,01,Movimiento Detectado
2024,09,18,18,11,05,Movimiento Detectado
2024,09,18,18,11,09,Movimiento Detectado
2024,09,18,18,11,14,Movimiento Detectado
2024,09,18,18,11,18,Movimiento Detectado
2024,09,18,18,11,22,Movimiento Detectado
2024,09,18,18,11,26,Movimiento Detectado
2024,09,18,18,11,31,Movimiento Detectado
2024,09,18,18,11,35,Movimiento Detectado
2024,09,18,18,11,40,Movimiento Detectado
2024,09,18,18,11,44,Movimiento Detectado
2024,09,18,18,11,49,Movimiento Detectado
2024,09,18,18,11,53,Movimiento Detectado
2024,09,18,18,11,57,Movimiento Detectado
2024,09,18,18,12,05,Movimiento Detectado
2024,09,18,18,12,09,Movimiento Detectado
2024,09,18,18,12,14,Movimiento Detectado
2024,09,18,18,12,18,Movimiento Detectado
2024,09,18,18,12,24,Movimiento Detectado
2024,09,18,18,12,28,Movimiento Detectado
2024,09,18,18,12,34,Movimiento Detectado
2024,09,18,18,12,40,Movimiento Detectado
2024,09,18,18,12,55,Movimiento Detectado
2024,09,18,18,13,11,Movimiento Detectado
2024,09,18,18,13,21,Movimiento Detectado
2024,09,18,18,13,27,Movimiento Detectado
2024,09,18,18,13,31,Movimiento Detectado
2024,09,18,18,13,36,Movimiento Detectado
2024,09,18,18,13,41,Movimiento Detectado
2024,09,18,18,13,46,Movimiento Detectado
2024,09,18,18,13,50,Movimiento Detectado
2024,09,18,18,13,55,Movimiento Detectado
2024,09,18,18,13,59,Movimiento Detectado
2024,09,18,18,14,03,Movimiento Detectado
2024,09,18,18,14,07,Movimiento Detectado
2024,09,18,18,14,12,Movimiento Detectado
2024,09,18,18,14,16,Movimiento Detectado
2024,09,18,18,14,21,Movimiento Detectado
2024,09,18,18,14,22,Movimiento Detectado
2024,09,18,18,14,27,Movimiento Detectado
2024,09,18,18,14,31,Movimiento Detectado
2024,09,18,18,14,32,Movimiento Detectado
2024,09,18,18,14,36,Movimiento Detectado
2024,09,18,18,14,40,Movimiento Detectado
2024,09,18,18,14,45,Movimiento Detectado
2024,09,18,18,14,49,Movimiento Detectado
2024,09,18,18,14,50,Movimiento Detectado
2024,09,18,18,14,55,Movimiento Detectado
2024,09,18,18,15,00,Movimiento Detectado
2024,09,18,18,15,04,Movimiento Detectado
2024,09,18,18,15,09,Movimiento Detectado
2024,09,18,18,15,10,Movimiento Detectado
2024,09,18,18,15,14,Movimiento Detectado
